,SID,TID,HG,GID,AbNr,Min,HZ,PR,SpSt,GS,AP,Ergeb,Phase,VNr,2VNr,3VNr,4VNr,5VNr,6VNr,7VNr,8VNr,9VNr,10VNr,11VNr,12VNr,SNr,xFe,yFe,xG
71,3,FCN,H,TSV,15,59,2,1,,3,26,Save,AusDemSpiel,,,,,,,,,,,,,9.0,8.0,38.0,0.12336219669731299
72,3,TSV,G,FCN,12,63,2,-1,,-3,27,Save,AusDemSpiel,,,,,,,,,,,,,,16.0,44.5,0.04210967226425795
73,3,FCN,H,TSV,16,64,2,1,,3,28,Block,AusDemSpiel,,,,,,,,,,,,,26.0,5.0,30.0,0.036411180541016
74,3,FCN,H,TSV,17,65,2,1,,3,28,Vorbei,AusDemSpiel,,,,,,,,,,,,,23.0,-14.0,27.5,0.0042398527737923615
75,3,FCN,H,TSV,18,66,2,1,,3,29,Vorbei,AusDemSpiel,10.0,7.0,20.0,19.0,16.0,,,,,,,,9.0,8.5,40.0,0.25385297693398734
76,3,FCN,H,TSV,19,68,2,1,,3,30,Save,AusDemSpiel,10.0,,,,,,,,,,,,7.0,8.0,40.0,0.26517553819081874
77,3,FCN,H,TSV,20,69,2,1,,3,31,Vorbei,Ecke,18.0,,,,,,,,,,,,7.0,14.0,32.5,0.02309426234246087
78,3,FCN,H,TSV,21,70,2,1,,3,32,Save,AusDemSpiel,20.0,16.0,23.0,19.0,26.0,21.0,20.0,10.0,,,,,25.0,12.5,45.0,0.1579680200908894
79,3,FCN,H,TSV,22,70,2,1,,3,33,Vorbei,AusDemSpiel,10.0,18.0,19.0,16.0,23.0,21.0,20.0,,,,,,25.0,-9.5,41.5,0.2941379280827794
80,3,FCN,H,TSV,23,78,2,1,,3,34,Save,AusDemSpiel,11.0,10.0,19.0,11.0,,,,,,,,,7.0,2.5,47.0,0.5030556811905824
81,3,FCN,H,TSV,24,79,2,1,,3,35,Vorbei,AusDemSpiel,10.0,,,,,,,,,,,,26.0,3.5,25.5,0.03562948645550078
82,4,FCN,G,DJK,1,4,1,0,0:1,0,1,Tor,Ecke,7.0,8.0,,,,,,,,,,,23.0,-3.5,52.0,0.7767252674885828
83,4,FCN,G,DJK,2,8,1,0,,1,2,Save,AusDemSpiel,23.0,19.0,6.0,,,,,,,,,,16.0,5.0,30.5,0.02390644264449415
84,4,FCN,G,DJK,3,17,1,0,,1,3,Vorbei,AusDemSpiel,5.0,23.0,19.0,16.0,8.0,,,,,,,,16.0,12.0,24.5,0.004597587348187442
85,4,FCN,G,DJK,4,19,1,0,,1,4,Vorbei,AusDemSpiel,10.0,7.0,,,,,,,,,,,20.0,8.5,46.0,0.04707596628821615
86,4,FCN,G,DJK,5,25,1,0,,1,5,Save,AusDemSpiel,16.0,23.0,6.0,19.0,5.0,16.0,,,,,,,10.0,-1.0,43.5,0.014538578006142203
